,Close,Signal,capital,shares
142,770.4666748046875,-1.0,12040.263916015625,0
143,767.4898071289062,-1.0,12040.263916015625,0
144,763.867919921875,-1.0,12040.263916015625,0
145,764.6121215820312,-1.0,12040.263916015625,0
146,764.3640747070312,-1.0,12040.263916015625,0
147,763.619873046875,-1.0,12040.263916015625,0
148,763.8182983398438,-1.0,12040.263916015625,0
149,763.7191162109375,-1.0,12040.263916015625,0
150,765.654052734375,-1.0,12040.263916015625,0
151,779.298095703125,-1.0,12040.263916015625,0
152,786.0953369140625,-1.0,12040.263916015625,0
153,773.9397583007812,-1.0,12040.263916015625,0
154,795.81982421875,-1.0,12040.263916015625,0
155,798.2509155273438,-1.0,12040.263916015625,0
156,802.5673828125,-1.0,12040.263916015625,0
157,807.3303833007812,-1.0,12040.263916015625,0
158,819.8333129882812,-1.0,12040.263916015625,0
159,810.2080688476562,-1.0,12040.263916015625,0
160,803.658935546875,-1.0,12040.263916015625,0
161,821.6690673828125,-1.0,12040.263916015625,0
162,800.4339599609375,-1.0,12040.263916015625,0
163,817.0052490234375,-1.0,12040.263916015625,0
164,805.6435546875,-1.0,12040.263916015625,0
165,776.17236328125,-1.0,12040.263916015625,0
166,764.6617431640625,-1.0,12040.263916015625,0
167,774.1878051757812,-1.0,12040.263916015625,0
168,768.978271484375,-1.0,12040.263916015625,0
169,772.60009765625,-1.0,12040.263916015625,0
170,787.13720703125,-1.0,12040.263916015625,0
171,797.655517578125,-1.0,12040.263916015625,0
172,803.9566040039062,-1.0,12040.263916015625,0
173,825.588623046875,-1.0,12040.263916015625,0
174,797.5563354492188,-1.0,12040.263916015625,0
175,793.6863403320312,-1.0,12040.263916015625,0
176,793.6863403320312,-1.0,12040.263916015625,0
177,769.6728515625,-1.0,12040.263916015625,0
178,760.494140625,-1.0,12040.263916015625,0
179,733.9998779296875,-1.0,12040.263916015625,0
180,693.861572265625,-1.0,12040.263916015625,0
181,703.9334106445312,-1.0,12040.263916015625,0
182,691.9265747070312,-1.0,12040.263916015625,0
183,714.0547485351562,-1.0,12040.263916015625,0
184,743.724365234375,-1.0,12040.263916015625,0
